2/13/2024, 7:57:12 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6298068517, is-have-premium: false, message-deleted: true, user-name: Алексей, user-nick: chvsdiljvbeo
2/13/2024, 7:57:12 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:12 PM: user-chat-id: 5969416950, is-have-premium: false, message-deleted: true, user-name: Aezakmi, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 1048388976, is-have-premium: false, message-deleted: true, user-name: ., user-nick: marofo67
2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6239278673, is-have-premium: false, message-deleted: true, user-name: Алёна, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6916563137, is-have-premium: false, message-deleted: true, user-name: Работа Для, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6575063748, is-have-premium: false, message-deleted: true, user-name: Денис, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:12 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6931962183, is-have-premium: false, message-deleted: true, user-name: David, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 1048388976, is-have-premium: false, message-deleted: true, user-name: ., user-nick: marofo67
2/13/2024, 7:57:12 PM: user-chat-id: 5720636697, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: looppgood
2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5984857873, is-have-premium: false, message-deleted: true, user-name: Evgenia_job, user-nick: Evgenia_job
2/13/2024, 7:57:12 PM: user-chat-id: 6605031149, is-have-premium: false, message-deleted: true, user-name: Мира, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6934269757, is-have-premium: false, message-deleted: true, user-name: Француз, user-nick: Mary4Cook4
2/13/2024, 7:57:12 PM: user-chat-id: 5509350539, is-have-premium: false, message-deleted: true, user-name: Марина, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5632023319, is-have-premium: false, message-deleted: true, user-name: Кириана, user-nick: Kiriana01
2/13/2024, 7:57:12 PM: user-chat-id: 6281143100, is-have-premium: false, message-deleted: true, user-name: Руслан, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5556900061, is-have-premium: false, message-deleted: true, user-name: Киска 💃, user-nick: Kukla_3
2/13/2024, 7:57:12 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6962396418, is-have-premium: false, message-deleted: true, user-name: Валерия, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6014818413, is-have-premium: false, message-deleted: true, user-name: Евгения, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5556900061, is-have-premium: false, message-deleted: true, user-name: Киска 💃, user-nick: Kukla_3
2/13/2024, 7:57:12 PM: user-chat-id: 5935826438, is-have-premium: false, message-deleted: true, user-name: Ragamafin, user-nick: Jorik_24
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 5946468527, is-have-premium: false, message-deleted: true, user-name: evάleen, user-nick: fgfdgfdfs4635
2/13/2024, 7:57:12 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5984857873, is-have-premium: false, message-deleted: true, user-name: Evgenia_job, user-nick: Evgenia_job
2/13/2024, 7:57:12 PM: user-chat-id: 6396837941, is-have-premium: false, message-deleted: true, user-name: D4YAMA, user-nick: mixWorldUSDT
2/13/2024, 7:57:12 PM: user-chat-id: 6890112063, is-have-premium: false, message-deleted: true, user-name: Викентий, user-nick: Afina_79iiAa
2/13/2024, 7:57:12 PM: user-chat-id: 6729735478, is-have-premium: false, message-deleted: true, user-name: Gabrielle, user-nick: Gabrielle_La
2/13/2024, 7:57:12 PM: user-chat-id: 5008617091, is-have-premium: false, message-deleted: true, user-name: Темный, user-nick: gefgejfgewgfuyr
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6748498861, is-have-premium: false, message-deleted: true, user-name: Paskal_13, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6546514372, is-have-premium: false, message-deleted: true, user-name: Kustik_Mary, user-nick: jojorr13
2/13/2024, 7:57:12 PM: user-chat-id: 6123895522, is-have-premium: false, message-deleted: true, user-name: Ахмед, user-nick: Ahmed_11121
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6025095900, is-have-premium: false, message-deleted: true, user-name: Алёнка, user-nick: olyyyyyy231
2/13/2024, 7:57:12 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6661350505, is-have-premium: false, message-deleted: true, user-name: Вика, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6169399296, is-have-premium: false, message-deleted: true, user-name: Олечка, user-nick: Olechkamuurr
2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 1215467088, is-have-premium: false, message-deleted: true, user-name: Руслан, user-nick: bayrkv
